"","SourceName","TargetName","Weight","SourceID","TargetID","diceSim"
"1","burden","thenosm","0.0181818181818182",29,24,0
"2","called","thenosm","0.0181818181818182",28,24,0
"3","check","cookbooks","0.0181818181818182",1,0,0
"4","cookbooks","check","0.0181818181818182",0,1,0
"5","cookbooks","diabetes","0.0181818181818182",0,3,0
"6","cookbooks","health","0.0181818181818182",0,2,0
"7","diab","health","0.0181818181818182",10,2,0.444444444444444
"8","diab","much","0.0181818181818182",10,13,0.5
"9","diab","stress","0.0181818181818182",10,11,0.8
"10","diab","take","0.0181818181818182",10,14,0.5
"11","diab","toll","0.0181818181818182",10,12,0.8
"12","diabetes","cookbooks","0.0181818181818182",3,0,0
"13","diabetes","diets","0.0181818181818182",3,15,0
"14","diabetes","thenosm","0.0181818181818182",3,24,0
"15","died","metab","0.0181818181818182",20,16,0.222222222222222
"16","died","vascular","0.0181818181818182",20,17,0.222222222222222
"17","diets","diabetes","0.0181818181818182",15,3,0
"18","disorders","metab","0.0181818181818182",19,16,0.222222222222222
"19","disorders","vascular","0.0181818181818182",19,17,0.222222222222222
"20","disturbed","expression","0.0181818181818182",6,5,0.8
"21","disturbed","function","0.0181818181818182",6,8,0.666666666666667
"22","disturbed","gene","0.0181818181818182",6,4,0.8
"23","disturbed","rhythmic","0.0181818181818182",6,7,0.8
"24","disturbed","type","0.0181818181818182",6,9,0.666666666666667
"25","djamaessa","metab","0.0181818181818182",18,16,0.222222222222222
"26","djamaessa","vascular","0.0181818181818182",18,17,0.222222222222222
"27","expression","disturbed","0.0181818181818182",5,6,0.8
"28","expression","function","0.0181818181818182",5,8,0.666666666666667
"29","expression","gene","0.0181818181818182",5,4,0.8
"30","expression","rhythmic","0.0181818181818182",5,7,0.8
"31","expression","type","0.0181818181818182",5,9,0.666666666666667
"32","findings","thenosm","0.0181818181818182",27,24,0
"33","function","disturbed","0.0181818181818182",8,6,0.666666666666667
"34","function","expression","0.0181818181818182",8,5,0.666666666666667
"35","function","gene","0.0181818181818182",8,4,0.666666666666667
"36","function","rhythmic","0.0181818181818182",8,7,0.666666666666667
"37","gene","disturbed","0.0181818181818182",4,6,0.8
"38","gene","expression","0.0181818181818182",4,5,0.8
"39","gene","function","0.0181818181818182",4,8,0.666666666666667
"40","gene","rhythmic","0.0181818181818182",4,7,0.8
"41","gene","type","0.0181818181818182",4,9,0.666666666666667
"42","health","cookbooks","0.0181818181818182",2,0,0
"43","health","diab","0.0181818181818182",2,10,0.444444444444444
"44","health","stress","0.0181818181818182",2,11,0.444444444444444
"45","health","toll","0.0181818181818182",2,12,0.444444444444444
"46","metab","died","0.0181818181818182",16,20,0.222222222222222
"47","metab","disorders","0.0181818181818182",16,19,0.222222222222222
"48","metab","djamaessa","0.0181818181818182",16,18,0.222222222222222
"49","metab","metabolic","0.0181818181818182",16,21,0.222222222222222
"50","metab","patients","0.0181818181818182",16,23,0.222222222222222
"51","metab","people","0.0181818181818182",16,22,0.222222222222222
"52","metab","vascular","0.0181818181818182",16,17,0.857142857142857
"53","metabolic","metab","0.0181818181818182",21,16,0.222222222222222
